_id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
53,2003-02-12T00:00:00,Mackay,Ship,Trading,Coastal Waters,65 nm ENE of Gladstone,Bilge,Unknown
54,2003-02-19T00:00:00,Brisbane,Ship,Trading,Port,Fisherman Island Berth #1&2,HFO,Unknown
55,2003-02-20T00:00:00,Brisbane,Unknown,Unknown,Port,"QCL - Bp Products Berth, Brisbane River",Diesel,Unknown
56,2003-02-22T00:00:00,Brisbane,Ship,Fishing,Port,Doboy Creek,Diesel,Unknown
57,2003-02-24T00:00:00,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
58,2003-02-26T00:00:00,Cairns,Ship,Commercial,Port,Cairns Inlet,Diesel,Unknown
59,2003-02-27T00:00:00,Brisbane,Ship,Unknown,Port,NW3 - NW8 North West Channel Moreton Bay,Diesel,Unknown
60,2003-03-04T00:00:00,Cairns,Unknown,Unknown,Port,cairns inlet,Diesel,Unknown
61,2003-03-12T00:00:00,Brisbane,Land,N/A,Port,Caltex Wharf - Brisbane River,Bilge,Unknown
62,2003-03-12T00:00:00,Brisbane,Ship,Tanker,Port,"Shell Wharf, Brisbane River",HFO,Unknown
63,2003-03-12T00:00:00,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
64,2003-03-14T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Riverside Centre, Brisbane River",Diesel,Unknown
65,2003-03-17T00:00:00,Brisbane,Land,N/A,Port,"Hamilton Reach, Brisbane River",Bilge,Unknown
66,2003-03-18T00:00:00,Brisbane,Land,N/A,Port,Lytton - Quaritine Flats Reach,HFO,Unknown
67,2003-03-24T00:00:00,Brisbane,Unknown,Unknown,Port,E1 and E3 Eastern Channel - moreton bay,Diesel,Unknown
68,2003-03-27T00:00:00,Brisbane,Land,N/A,Port,Maritime Berths 1&2,Tallo,Unknown
69,2003-04-17T00:00:00,Mackay,Ship,Unknown,GBR,10.5 nm NE Wigton Is - Whitsunday's,Diesel,Unknown
70,2003-04-27T00:00:00,Cairns,Ship,Fishing,Offshore,Turu Cay - 09°49'S; 141°26'E,Diesel,Unknown
71,2003-04-28T00:00:00,Brisbane,Land,N/A,Port,Pinkenba,Petrol,Unknown
72,2003-04-29T00:00:00,Gladstone,Ship,Commercial,Coastal Waters,Rosslyn Bay Boat Harbour,Diesel,Unknown
73,2003-05-06T00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"Moreton Bay Boat Club, Scarborough Harbour",Diesel,Unknown
74,2003-05-10T00:00:00,Mackay,Unknown,Unknown,GBR,Apostle Bay/Tongue Point - Whitsundays,Diesel,Unknown
75,2003-05-11T00:00:00,Mackay,Ship,Recreational,GBR,Sawmill Bay - 20°15'S; 148°56'E,Diesel,Unknown
76,2003-05-14T00:00:00,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
77,2003-05-26T00:00:00,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
78,2003-05-27T00:00:00,Cairns,Ship,,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
79,2003-05-28T00:00:00,Brisbane,Land,N/A,Coastal Waters,southbank,Diesel,Unknown
80,2003-05-28T00:00:00,Brisbane,Land,N/A,Port,caltex crude berth - fisherman island,Diesel,Unknown
81,2003-05-29T00:00:00,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
82,2003-05-30T00:00:00,Cairns,Ship,Commercial,Port,Humbug Wharf - Weipa,Bilge,Unknown
83,2003-05-31T00:00:00,Brisbane,Ship,Trading,Port,Maritime Berths 1&2,HFO,Unknown
84,2003-05-31T00:00:00,Brisbane,Ship,Fishing,Port,"Raptis Wharf Colmslie, Brisbane River",Diesel,Unknown
85,2003-06-25T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Bulimba Reach, Brisbane River",Diesel,Unknown
86,2003-07-04T00:00:00,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
87,2003-07-11T00:00:00,Mackay,Ship,Fishing,Port,"Mackay Marina, Mackay",Diesel,Unknown
88,2003-07-26T00:00:00,Brisbane,Unknown,Unknown,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
89,2003-08-04T00:00:00,Gladstone,Ship,Fishing,Coastal,Rosslyn Bay Boat Harbour,Diesel,Unknown
90,2003-08-09T00:00:00,Brisbane,Unknown,Unknown,Port,"Hemmant Barge Landing, Brisbane River",Sheen,Unknown
91,2003-08-23T00:00:00,Brisbane,Ship,Unknown,Port,Moreton Bay,Sheen,Unknown
92,2003-09-10T00:00:00,Brisbane,Ship,Trading,Port,"Fishermans Islands Coal Berth, Brisbane River",Hydraulic,Unknown
93,2003-09-10T00:00:00,Gladstone,Ship,Commercial,Port,"Fishermans  Landing, Gladstone",Hydraulic,Unknown
94,2003-09-11T00:00:00,Cairns,Ship,Defence,Port,Thursday Island,Diesel,Unknown
95,2003-09-12T00:00:00,Cairns,Ship,Recreational,Port,"Marlin Marina, Cairns",Bilge,Unknown
96,2003-09-12T00:00:00,Cairns,Ship,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
97,2003-09-23T00:00:00,Brisbane,Unknown,Unknown,Port,"Fishermans Islands, Brisbane River",Sheen,Unknown
98,2003-10-04T00:00:00,Mackay,Ship,Commercial,Coastal,Shute Harbour,Sheen,Unknown
99,2003-10-06T00:00:00,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Diesel,Unknown
100,2003-10-07T00:00:00,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Sheen,Unknown
101,2003-10-10T00:00:00,Brisbane,Ship,Unknown,Port,"Scarbrogh Harbour, Brisbane",Sheen,Unknown
102,2003-10-13T00:00:00,Cairns,Ship,Unknown,Coastal,Port Douglas,Diesel,Unknown
103,2003-10-16T00:00:00,Cairns,Ship,Unknown,Coastal,Port Douglas,Bilge,Unknown
104,2003-10-17T00:00:00,Cairns,Ship,Trading,Coastal,"Flinders Group, Princess Charlote Bay FNQ",Fuel Oil,Unknown
105,2003-10-24T00:00:00,Brisbane,Ship,Defence,Port,"Maritime #1 Wharf, Brisbane River",Diesel,Unknown
106,2003-10-28T00:00:00,Brisbane,Ship,Oil Tanker,Port,"BP Refinery Wharf, Brisbane River",Crude,Unknown
107,2003-10-29T00:00:00,Mackay,Ship,Recreational,Coastal,Shute Harbour,Sheen,Unknown
108,2003-10-30T00:00:00,Cairns,Ship,Trading,Port,"Lorim Point, Weipa",Hydraulic,Unknown
